Node ID,Order
1,17198
2,9077
3,5648
4,9764
5,17014
6,9959
7,8610
8,14288
9,4755
10,9323
11,17539
12,11310
13,9706
14,6416
15,9943
16,13625
17,13833
18,16833
19,12603
20,15788
21,1652
22,13489
23,4522
24,7973
25,3486
26,12279
27,8841
28,9421
29,16161
30,18516
31,15001
32,13205
33,12913
34,6434
35,17780
36,14714
37,2854
38,8432
39,4658
40,6548
41,9330
42,2711
43,13698
44,4282
45,8281
46,3541
47,9495
48,1981
49,5831
50,7384
51,2294
52,7557
53,8746
54,12379
55,16090
56,17058
57,1051
58,339
59,17874
60,2107
61,6577
62,1723
63,4383
64,17508
65,957
66,978
67,18466
68,18487
69,1297
70,599
71,3251
72,1879
73,13162
74,1067
75,526
76,3367
77,10373
78,17397
79,10518
80,6706
81,15503
82,2851
83,3844
84,14085
85,10272
86,12233
87,2709
88,6503
89,11227
90,7317
91,12622
92,16786
93,13128
94,3964
95,3288
96,8793
97,9440
98,13989
99,3776
100,16410
101,10588
102,8183
103,3355
104,2843
105,17617
106,395
107,2395
108,3942
109,5894
110,10525
111,6195
112,13383
113,17062
114,17484
115,4536
116,15290
117,4447
118,1772
119,6819
120,842
121,17274
122,9423
123,9228
124,12904
125,1842
126,8904
127,5163
128,14046
129,5324
130,11910
131,3684
132,309
133,5316
134,17020
135,1855
136,9311
137,11669
138,17368
139,5367
140,6451
141,17060
142,13022
143,4635
144,9961
145,14895
146,4664
147,3222
148,12580
149,7703
150,7100
151,3490
152,17324
153,2844
154,15656
155,2462
156,10893
157,4472
158,8989
159,6874
160,11982
161,7593
162,17443
163,17227
164,13745
165,10474
166,2638
167,11780
168,11230
169,15735
170,4298
171,16403
172,14659
173,4459
174,3936
175,390
176,3538
177,2619
178,4253
179,4046
180,5945
181,3143
182,1134
183,7391
184,15545
185,17425
186,953
187,17558
188,16861
189,4513
190,15818
191,17735
192,2590
193,16064
194,5292
195,17129
196,5772
197,4932
198,8743
199,5207
200,849
201,760
202,2964
203,9075
204,15314
205,1190
206,1916
207,7453
208,9969
209,9560
210,6176
211,13786
212,10952
213,782
214,11645
215,10309
216,4432
217,7858
218,17715
219,2793
220,2027
221,3593
222,5699
223,484
224,12096
225,13534
226,3560
227,17054
228,13291
229,1398
230,1270
231,5727
232,4630
233,1479
234,7242
235,5468
236,2210
237,1798
238,4942
239,2083
240,6283
241,13936
242,14573
243,1240
244,14426
245,5516
246,14773
247,17127
248,11486
249,16348
250,12423
251,6333
252,10435
253,11320
254,3351
255,8991
256,10023
257,7668
258,6651
259,14691
260,7846
261,11644
262,2282
263,14163
264,2228
265,1431
266,13738
267,943
268,7882
269,450
270,7577
271,7445
272,3976
273,1285
274,18384
275,1887
276,4744
277,16110
278,2356
279,15084
280,14429
281,5122
282,17270
283,2698
284,322
285,4056
286,1386
287,5961
288,1120
289,12575
290,13450
291,9366
292,3986
293,1751
294,18328
295,3329
296,18500
297,5289
298,2883
299,352
300,17210
301,17567
302,13168
303,14113
304,14181
305,9668
306,12139
307,15613
308,4832
309,4349
310,5848
311,16354
312,15134
313,6692
314,12792
315,3521
316,18282
317,1964
318,12526
319,11896
320,17461
321,9929
322,8005
323,10823
324,4632
325,9496
326,2719
327,2847
328,7180
329,15710
330,8495
331,7031
332,302
333,1293
334,3555
335,4167
336,400
337,9633
338,7783
339,4860
340,15548
341,9697
342,15996
343,2778
344,833
345,16800
346,4612
347,11636
348,10668
349,5441
350,9416
351,11601
352,12861
353,1161
354,11033
355,16842
356,3668
357,11613
358,830
359,3715
360,1153
361,5490
362,16628
363,698
364,829
365,5093
366,17730
367,16150
368,13124
369,16812
370,3635
371,11278
372,3912
373,10830
374,10597
375,14328
376,6208
377,6094
378,10695
379,5315
380,11477
381,12319
382,755
383,14671
384,14978
385,7606
386,16511
387,8173
388,9453
389,11638
390,8508
391,13232
392,12162
393,16232
394,8737
395,8860
396,15953
397,11612
398,7258
399,5162
400,9054
401,6960
402,10160
403,13985
404,13616
405,5838
406,4661
407,15054
408,4992
409,14833
410,16602
411,13828
412,13060
413,9345
414,15068
415,18002
416,15782
417,6988
418,10295
419,12280
420,8338
421,4250
422,12443
423,2880
424,5245
425,14933
426,7238
427,15200
428,865
429,4224
430,3046
431,2664
432,2126
433,2113
434,903
435,12886
436,18515
437,3539
438,7386
439,16480
440,17297
441,9312
442,16256
443,17133
444,11281
445,12972
446,16324
447,13993
448,7345
449,858
450,1360
451,3305
452,753
453,7470
454,510
455,16496
456,4370
457,5620
458,1145
459,219
460,8788
461,11132
462,798
463,8330
464,1199
465,14001
466,6154
467,10193
468,17630
469,10935
470,1371
471,7635
472,4518
473,17866
474,268
475,6918
476,13571
477,14785
478,889
479,15320
480,9971
481,3322
482,4114
483,17708
484,2165
485,10351
486,4007
487,7860
488,5895
489,3066
490,3648
491,11200
492,12216
493,6748
494,2122
495,7307
496,15423
497,21
498,4645
499,5760
500,1320
501,4941
502,18115
503,1103
504,477
505,12605
506,8459
507,7451
508,237
509,2476
510,11799
511,7544
512,13065
513,13169
514,6887
515,6865
516,1308
517,17818
518,7197
519,11925
520,16464
521,10176
522,6252
523,13888
524,7677
525,16379
526,6007
527,14528
528,11353
529,11945
530,8123
531,17683
532,12995
533,3767
534,10365
535,14669
536,10406
537,18116
538,17024
539,14444
540,12583
541,12925
542,9462
543,12184
544,8680
545,14965
546,17115
547,4258
548,5048
549,1090
550,9413
551,13145
552,5466
553,17685
554,8980
555,4708
556,17932
557,14612
558,6408
559,14294
560,17317
561,12924
562,15905
563,16080
564,8818
565,12297
566,16986
567,5873
568,6080
569,45
570,17595
571,8823
572,3065
573,8941
574,8831
575,5971
576,16489
577,1132
578,5866
579,10494
580,3297
581,549
582,5482
583,8834
584,8308
585,6900
586,12248
587,14198
588,16514
589,15331
590,3789
591,4616
592,1710
593,133
594,15432
595,6326
596,17865
597,8782
598,9892
599,14467
600,8929
601,15938
602,4430
603,3226
604,11755
605,10129
606,18200
607,8945
608,17860
609,10580
610,11722
611,11060
612,18164
613,10246
614,14645
615,14148
616,1349
617,18008
618,4303
619,11374
620,15417
621,15523
622,2889
623,18218
624,13688
625,14209
626,15593
627,3991
628,2978
629,15537
630,7907
631,17029
632,13983
633,15427
634,7666
635,13436
636,3272
637,3531
638,10194
639,3532
640,4354
641,1129
642,346
643,16268
644,214
645,8149
646,5184
647,11192
648,1488
649,2939
650,1242
651,1529
652,3576
653,13788
654,2309
655,7119
656,7560
657,103
658,3553
659,861
660,16318
661,3020
662,5499
663,8686
664,2086
665,7899
666,8582
667,17964
668,2461
669,17666
670,15102
671,6052
672,10630
673,8888
674,7965
675,4158
676,11357
677,14753
678,7997
679,3072
680,7298
681,888
682,7334
683,15570
684,8072
685,8854
686,18335
687,10967
688,15608
689,17047
690,4228
691,15911
692,1954
693,14297
694,9632
695,15283
696,6794
697,11517
698,822
699,7561
700,11558
701,14383
702,8759
703,12559
704,15479
705,9792
706,9167
707,14996
708,16757
709,4563
710,11069
711,10958
712,3778
713,2495
714,4243
715,12561
716,7696
717,3914
718,16687
719,7408
720,16558
721,5724
722,14817
723,10291
724,15552
725,17616
726,3023
727,7043
728,8408
729,186
730,512
731,1776
732,15988
733,7501
734,15717
735,4803
736,16066
737,14494
738,3543
739,5193
740,11173
741,1202
742,4358
743,1087
744,15481
745,1185
746,13547
747,2595
748,5264
749,10522
750,6616
751,12111
752,7328
753,7035
754,17300
755,2612
756,11129
757,8873
758,18275
759,9709
760,16914
761,15185
762,11814
763,15585
764,13675
765,10324
766,13643
767,3704
768,9437
769,4905
770,1705
771,1482
772,969
773,17609
774,10439
775,111
776,860
777,811
778,2930
779,15590
780,129
781,13458
782,9738
783,704
784,12215
785,5043
786,11115
787,2665
788,14051
789,15431
790,15505
791,13947
792,5493
793,8298
794,3752
795,9254
796,11085
797,3195
798,10814
799,14489
800,12825
801,12521
802,11540
803,5758
804,5464
805,502
806,8639
807,9109
808,14112
809,11009
810,14068
811,9593
812,4864
813,5880
814,17954
815,9383
816,2558
817,14584
818,16156
819,11226
820,11433
821,7913
822,4762
823,9277
824,16904
825,13424
826,10745
827,11338
828,5456
829,6786
830,11897
831,10354
832,16682
833,10058
834,7039
835,14960
836,1719
837,583
838,15536
839,4458
840,7784
841,1680
842,17872
843,3793
844,7193
845,15313
846,3652
847,3946
848,5477
849,7592
850,17591
851,2747
852,1364
853,17934
854,16796
855,2759
856,6015
857,1290
858,1347
859,4700
860,499
861,15397
862,3823
863,2516
864,910
865,5451
866,11608
867,3217
868,8742
869,17835
870,7024
871,11058
872,8613
873,6398
874,17515
875,9238
876,16847
877,2977
878,8316
879,17061
880,10154
881,12585
882,6036
883,11370
884,12193
885,4642
886,4613
887,9600
888,11630
889,3261
890,7081
891,13058
892,11011
893,17928
894,9042
895,9521
896,2628
897,13003
898,6331
899,17675
900,5062
901,2426
902,16263
903,5746
904,7594
905,1198
906,9134
907,14150
908,8111
909,2006
910,449
911,7332
912,8735
913,5588
914,17233
915,9184
916,10798
917,3758
918,8601
919,7669
920,4586
921,12529
922,17736
923,1332
924,5265
925,2457
926,18090
927,6175
928,11911
929,15245
930,17354
931,9226
932,12175
933,2172
934,4953
935,3632
936,6981
937,12209
938,15217
939,12333
940,977
941,13364
942,13656
943,18440
944,13252
945,12157
946,11978
947,14970
948,1191
949,15864
950,16924
951,3358
952,13278
953,3797
954,12471
955,4797
956,5584
957,17262
958,8417
959,6526
960,13392
961,2737
962,4016
963,9944
964,9676
965,18427
966,3963
967,18495
968,9343
969,18330
970,6107
971,13379
972,11472
973,8938
974,5436
975,5204
976,11705
977,15868
978,13099
979,6104
980,17241
981,14631
982,14200
983,12418
984,14422
985,6428
986,12238
987,3040
988,8250
989,4816
990,10453
991,3989
992,10383
993,4031
994,1924
995,10252
996,2922
997,5030
998,17349
999,14315
1000,15601
1001,11170
1002,15265
1003,15328
1004,12889
1005,3927
1006,10516
1007,8146
1008,14839
1009,3408
1010,3430
1011,7742
1012,17656
1013,16520
1014,18029
1015,17396
1016,8880
1017,5158
1018,18014
1019,17704
1020,16918
1021,12249
1022,14041
1023,8197
1024,8702
1025,14539
1026,16140
1027,16754
1028,5933
1029,11914
1030,10969
1031,16419
1032,8153
1033,15777
1034,16139
1035,8558
1036,14004
1037,3139
1038,8573
1039,959
1040,3017
1041,12377
1042,7644
1043,6425
1044,12292
1045,8015
1046,9889
1047,4639
1048,11211
1049,6892
1050,6411
1051,9080
1052,3689
1053,14911
1054,17714
1055,4236
1056,5198
1057,15980
1058,10862
1059,5927
1060,7680
1061,7268
1062,12670
1063,7436
1064,6977
1065,7590
1066,4084
1067,5658
1068,6189
1069,1891
1070,16782
1071,656
1072,11165
1073,8773
1074,18140
1075,1239
1076,4145
1077,5270
1078,5000
1079,8824
1080,17072
1081,17769
1082,12332
1083,5107
1084,15189
1085,12093
1086,8420
1087,10331
1088,11739
1089,9916
1090,5780
1091,10150
1092,5925
1093,16035
1094,9208
1095,3799
1096,17488
1097,3350
1098,18219
1099,12263
1100,4606
1101,7799
1102,17271
1103,12445
1104,11885
1105,11488
1106,10128
1107,6862
1108,14060
1109,11543
1110,17151
1111,15171
1112,13069
1113,16388
1114,14292
1115,3886
1116,5029
1117,13891
1118,8876
1119,10318
1120,17359
1121,854
1122,8395
1123,6060
1124,14154
1125,10989
1126,13114
1127,14256
1128,17165
1129,9912
1130,12261
1131,8268
1132,5387
1133,18103
1134,10303
1135,16261
1136,8445
1137,15826
1138,6663
1139,18139
1140,4912
1141,7903
1142,10819
1143,10927
1144,9544
1145,13859
1146,9503
1147,17248
1148,14309
1149,6261
1150,12901
1151,5605
1152,12106
1153,7205
1154,12608
1155,10546
1156,11675
1157,2361
1158,9832
1159,7802
1160,2991
1161,12716
1162,14359
1163,15664
1164,13410
1165,9047
1166,4023
1167,13334
1168,3342
1169,16176
1170,13059
1171,4544
1172,12158
1173,16486
1174,15267
1175,14655
1176,13915
1177,11969
1178,14282
1179,14350
1180,13899
1181,16004
1182,13709
1183,14950
1184,10480
1185,15112
1186,6088
1187,12151
1188,12105
1189,7204
1190,3325
1191,5786
1192,10371
1193,3086
1194,12486
1195,7582
1196,1637
1197,16512
1198,2797
1199,3634
1200,10426
1201,7740
1202,8249
1203,4088
1204,18448
1205,17249
1206,6495
1207,4386
1208,4070
1209,17952
1210,9087
1211,1329
1212,12615
1213,3054
1214,63
1215,13957
1216,4226
1217,1081
1218,836
1219,2645
1220,17533
1221,5911
1222,13095
1223,6256
1224,3769
1225,7226
1226,8784
1227,10869
1228,3919
1229,3123
1230,5789
1231,5561
1232,16132
1233,10471
1234,14498
1235,13614
1236,3810
1237,8850
1238,16248
1239,17971
1240,8552
1241,12909
1242,12172
1243,11328
1244,9523
1245,944
1246,6235
1247,11505
1248,3654
1249,10543
1250,15401
1251,10608
1252,9670
1253,11857
1254,6344
1255,12557
1256,12863
