Node G1,Node G2
250691129,250691129
251988295,251988295
240726182,240726182
246801959,246801959
272979446,272979446
245229203,245229203
240781478,240781478
273057441,273057441
245816880,245816880
244267243,244267243
242291371,242291371
250042186,250042186
236258817,236258817
242638285,242638285
245538485,245538485
257424997,257424997
232323192,232323192
247148169,247148169
231682709,231682709
242293696,242293696
272458230,272458230
244445844,244445844
254042223,254042223
229979490,229979490
240754241,240754241
266945844,266945844
251384139,251384139
238546260,238546260
263088800,263088800
248770603,248770603
243966983,243966983
259389518,259389518
239257168,239257168
246693507,246693507
251852076,251852076
247927482,247927482
224808928,224808928
258952501,258952501
229731164,229731164
274725537,274725537
228664900,228664900
273275297,273275297
234465576,234465576
229545170,229545170
250489163,250489163
251346257,251346257
249630538,249630538
235359655,235359655
253988508,253988508
240865403,240865403
274120097,274120097
255768312,255768312
255835036,255835036
249934647,249934647
247533073,247533073
233207011,233207011
238127643,238127643
260384464,260384464
245600144,245600144
251990575,251990575
232296690,232296690
245822864,245822864
251435089,251435089
257510000,257510000
244499967,244499967
248921191,248921191
256730590,256730590
259204029,259204029
242074900,242074900
252345425,252345425
242517759,242517759
243864720,243864720
271454710,271454710
249349114,249349114
246793916,246793916
244040206,244040206
233785770,233785770
241041542,241041542
230401838,230401838
244626276,244626276
237785172,237785172
248690408,248690408
231225646,231225646
239323649,239323649
246593357,246593357
240543424,240543424
237786141,237786141
230682481,230682481
229047938,229047938
248325617,248325617
255931243,255931243
234463742,234463742
246443505,246443505
234564162,234564162
243059753,243059753
231866354,231866354
248694778,248694778
235101095,235101095
257839167,257839167
267397252,267397252
